,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
28,4/3/2021,15:30,Bundesliga,Matchweek 27,Sat,Away,W,2,1,Dortmund,1.4,2.1,43,,Sebastian Rode,3-4-1-2,4-1-4-1,Manuel Gräfe,Match Report,,14,3,15.8,0,0,0,2021,Eintracht Frankfurt
29,4/10/2021,15:30,Bundesliga,Matchweek 28,Sat,Home,W,4,3,Wolfsburg,0.9,1.2,45,,Sebastian Rode,3-4-1-2,4-2-3-1,Marco Fritz,Match Report,,8,5,14.1,0,0,0,2021,Eintracht Frankfurt
30,4/17/2021,15:30,Bundesliga,Matchweek 29,Sat,Away,L,0,4,Gladbach,0.7,2.3,63,,Sebastian Rode,3-4-1-2,4/4/2002,Deniz Aytekin,Match Report,,16,4,17.7,0,0,0,2021,Eintracht Frankfurt
31,4/20/2021,20:30,Bundesliga,Matchweek 30,Tue,Home,W,2,0,Augsburg,1.3,1.6,60,,Sebastian Rode,3-4-1-2,3/4/2003,Robert Schröder,Match Report,,12,4,16.4,1,0,0,2021,Eintracht Frankfurt
32,4/24/2021,18:30,Bundesliga,Matchweek 31,Sat,Away,L,1,3,Leverkusen,2.2,2,49,,Makoto Hasebe,3/4/2003,4-2-3-1,Felix Zwayer,Match Report,,13,5,12.2,0,0,0,2021,Eintracht Frankfurt
33,5/9/2021,15:30,Bundesliga,Matchweek 32,Sun,Home,D,1,1,Mainz 05,0.8,0.7,73,,Makoto Hasebe,3/5/2002,3/4/2003,Felix Brych,Match Report,,14,3,17.6,0,0,0,2021,Eintracht Frankfurt
34,5/15/2021,15:30,Bundesliga,Matchweek 33,Sat,Away,L,3,4,Schalke 04,3.1,2.8,64,,Makoto Hasebe,3/4/2003,3/5/2002,Sven Jablonski,Match Report,,25,8,15.1,1,0,0,2021,Eintracht Frankfurt
35,5/22/2021,15:30,Bundesliga,Matchweek 34,Sat,Home,W,3,1,Freiburg,2,0.5,52,,Makoto Hasebe,3/4/2003,4/4/2002,Christian Dingert,Match Report,,15,9,21,1,1,1,2021,Eintracht Frankfurt
1,9/20/2020,18:00,Bundesliga,Matchweek 1,Sun,Away,D,0,0,Wolfsburg,0.5,0.9,59,,Charles Aránguiz,4-1-4-1,4/3/2003,Sven Jablonski,Match Report,,7,3,11.6,0,0,0,2021,Bayer Leverkusen
2,9/26/2020,15:30,Bundesliga,Matchweek 2,Sat,Home,D,1,1,RB Leipzig,0.9,0.9,59,6042,Charles Aránguiz,4-1-4-1,3/4/2003,Harm Osmers,Match Report,,11,4,18.5,0,0,0,2021,Bayer Leverkusen
3,10/3/2020,15:30,Bundesliga,Matchweek 3,Sat,Away,D,1,1,Stuttgart,1.5,0.8,52,9500,Charles Aránguiz,4-1-4-1,3-1-4-2,Robert Hartmann,Match Report,,15,6,16.8,0,0,0,2021,Bayer Leverkusen
4,10/17/2020,15:30,Bundesliga,Matchweek 4,Sat,Away,W,1,0,Mainz 05,0.5,0.3,61,250,Charles Aránguiz,4-1-4-1,4-2-3-1,Bastian Dankert,Match Report,,9,5,18.5,0,0,0,2021,Bayer Leverkusen
6,10/26/2020,20:30,Bundesliga,Matchweek 5,Mon,Home,W,3,1,Augsburg,2.4,0.3,66,,Lars Bender,4/3/2003,4/4/2002,Sören Storks,Match Report,,14,6,20.6,0,1,1,2021,Bayer Leverkusen
8,11/1/2020,15:30,Bundesliga,Matchweek 6,Sun,Away,W,4,2,Freiburg,1.2,1.2,60,,Lars Bender,4/3/2003,4-2-2-2,Benjamin Cortus,Match Report,,18,7,22,0,0,0,2021,Bayer Leverkusen
10,11/8/2020,18:00,Bundesliga,Matchweek 7,Sun,Home,W,4,3,Gladbach,1.3,2.7,59,,Lars Bender,4/3/2003,4-2-3-1,Harm Osmers,Match Report,,13,4,18,0,0,0,2021,Bayer Leverkusen
11,11/21/2020,15:30,Bundesliga,Matchweek 8,Sat,Away,W,2,1,Arminia,1.2,0,69,,Lars Bender,4/3/2003,4-1-4-1,Felix Brych,Match Report,,8,4,14.1,0,0,0,2021,Bayer Leverkusen
13,11/29/2020,15:30,Bundesliga,Matchweek 9,Sun,Home,D,0,0,Hertha BSC,1.2,0.6,58,,Lars Bender,4/3/2003,4/4/2002,Daniel Schlager,Match Report,,16,1,19.6,2,0,0,2021,Bayer Leverkusen
15,12/6/2020,18:00,Bundesliga,Matchweek 10,Sun,Away,W,3,0,Schalke 04,2.5,1.4,63,,Lars Bender,4/3/2003,4-2-3-1,Benjamin Cortus,Match Report,,25,9,18.3,1,0,0,2021,Bayer Leverkusen
17,12/13/2020,18:00,Bundesliga,Matchweek 11,Sun,Home,W,4,1,Hoffenheim,2.2,1.6,60,,Lars Bender,4/3/2003,4-1-3-2,Martin Petersen,Match Report,,12,7,19.8,0,1,1,2021,Bayer Leverkusen
18,12/16/2020,20:30,Bundesliga,Matchweek 12,Wed,Away,W,4,0,Köln,1.6,0.4,66,,Lars Bender,4-2-3-1,3-1-4-2,Tobias Stieler,Match Report,,14,7,19.3,2,0,0,2021,Bayer Leverkusen
19,12/19/2020,18:30,Bundesliga,Matchweek 13,Sat,Home,L,1,2,Bayern Munich,0.3,1.1,51,,Julian Baumgartlinger,4/3/2003,4-2-3-1,Felix Zwayer,Match Report,,7,2,21.9,0,0,0,2021,Bayer Leverkusen
20,1/2/2021,15:30,Bundesliga,Matchweek 14,Sat,Away,L,1,2,Eint Frankfurt,0.8,1.5,65,,Julian Baumgartlinger,4/3/2003,3/4/2003,Felix Brych,Match Report,,7,2,15.6,1,0,0,2021,Bayer Leverkusen
21,1/9/2021,15:30,Bundesliga,Matchweek 15,Sat,Home,D,1,1,Werder Bremen,0.7,0.3,73,,Julian Baumgartlinger,4/3/2003,3/5/2002,Benjamin Cortus,Match Report,,12,3,19.5,1,0,0,2021,Bayer Leverkusen
23,1/15/2021,20:30,Bundesliga,Matchweek 16,Fri,Away,L,0,1,Union Berlin,0.9,1.4,67,,Julian Baumgartlinger,4/3/2003,3-1-4-2,Florian Badstübner,Match Report,,13,3,19.3,0,0,0,2021,Bayer Leverkusen
24,1/19/2021,20:30,Bundesliga,Matchweek 17,Tue,Home,W,2,1,Dortmund,1.9,1.6,48,,Charles Aránguiz,4/3/2003,4-2-3-1,Felix Zwayer,Match Report,,23,13,21.3,3,0,0,2021,Bayer Leverkusen
25,1/23/2021,15:30,Bundesliga,Matchweek 18,Sat,Home,L,0,1,Wolfsburg,1.3,1,64,,Charles Aránguiz,4/3/2003,4-2-3-1,Marco Fritz,Match Report,,10,3,18.8,0,0,0,2021,Bayer Leverkusen
26,1/30/2021,18:30,Bundesliga,Matchweek 19,Sat,Away,L,0,1,RB Leipzig,0.7,1.4,54,,Charles Aránguiz,4/3/2003,3-1-4-2,Harm Osmers,Match Report,,8,3,24.2,0,0,0,2021,Bayer Leverkusen
28,2/6/2021,15:30,Bundesliga,Matchweek 20,Sat,Home,W,5,2,Stuttgart,4.1,1.7,55,,Charles Aránguiz,4/3/2003,3/4/2003,Sven Jablonski,Match Report,,24,11,14.4,0,0,0,2021,Bayer Leverkusen
29,2/13/2021,15:30,Bundesliga,Matchweek 21,Sat,Home,D,2,2,Mainz 05,1.4,2.6,69,,Charles Aránguiz,4/3/2003,3-4-1-2,Guido Winkmann,Match Report,,11,4,17.1,0,0,0,2021,Bayer Leverkusen
31,2/21/2021,13:30,Bundesliga,Matchweek 22,Sun,Away,D,1,1,Augsburg,0.5,1,73,,Charles Aránguiz,4/3/2003,4-2-3-1,Christian Dingert,Match Report,,10,3,19.9,0,0,0,2021,Bayer Leverkusen
33,2/28/2021,18:00,Bundesliga,Matchweek 23,Sun,Home,L,1,2,Freiburg,1.3,1.3,66,,Charles Aránguiz,4/3/2003,4-2-2-2,Felix Zwayer,Match Report,,22,5,17.3,1,0,0,2021,Bayer Leverkusen
34,3/6/2021,15:30,Bundesliga,Matchweek 24,Sat,Away,W,1,0,Gladbach,1.4,0.5,57,,Charles Aránguiz,4/3/2003,4-2-3-1,Daniel Siebert,Match Report,,13,5,15.3,0,0,0,2021,Bayer Leverkusen
35,3/14/2021,13:30,Bundesliga,Matchweek 25,Sun,Home,L,1,2,Arminia,2.2,1.7,75,,Charles Aránguiz,4/3/2003,4/4/2002,Sascha Stegemann,Match Report,,20,5,15.7,0,0,0,2021,Bayer Leverkusen
36,3/21/2021,15:30,Bundesliga,Matchweek 26,Sun,Away,L,0,3,Hertha BSC,1.9,2,70,,Charles Aránguiz,4-2-3-1,3-4-1-2,Felix Brych,Match Report,,12,1,13.4,0,0,0,2021,Bayer Leverkusen
37,4/3/2021,15:30,Bundesliga,Matchweek 27,Sat,Home,W,2,1,Schalke 04,1,1,64,,Charles Aránguiz,3-5-1-1,3/5/2002,Sven Jablonski,Match Report,,8,3,16.5,0,0,0,2021,Bayer Leverkusen
38,4/12/2021,20:30,Bundesliga,Matchweek 28,Mon,Away,D,0,0,Hoffenheim,0.3,0.1,54,,Charles Aránguiz,3/4/2003,3-1-4-2,Matthias Jöllenbeck,Match Report,,5,3,15.5,0,0,0,2021,Bayer Leverkusen
39,4/17/2021,18:30,Bundesliga,Matchweek 29,Sat,Home,W,3,0,Köln,1.6,1,43,,Charles Aránguiz,3/4/2003,4-2-3-1,Sören Storks,Match Report,,8,5,13.3,1,0,0,2021,Bayer Leverkusen
40,4/20/2021,20:30,Bundesliga,Matchweek 30,Tue,Away,L,0,2,Bayern Munich,0.6,1.7,40,,Charles Aránguiz,3/4/2003,4-2-3-1,Guido Winkmann,Match Report,,7,4,17.7,0,0,0,2021,Bayer Leverkusen
41,4/24/2021,18:30,Bundesliga,Matchweek 31,Sat,Home,W,3,1,Eint Frankfurt,2,2.2,51,,Jonathan Tah,4-2-3-1,3/4/2003,Felix Zwayer,Match Report,,19,9,16.4,0,0,0,2021,Bayer Leverkusen
42,5/8/2021,15:30,Bundesliga,Matchweek 32,Sat,Away,D,0,0,Werder Bremen,1.1,0.7,62,,Jonathan Tah,4-2-3-1,4-3-2-1,Markus Schmidt,Match Report,,14,4,18.8,0,0,0,2021,Bayer Leverkusen
43,5/15/2021,15:30,Bundesliga,Matchweek 33,Sat,Home,D,1,1,Union Berlin,1.5,1.3,49,,Charles Aránguiz,3/4/2003,3/5/2002,Patrick Ittrich,Match Report,,10,4,16.2,0,0,0,2021,Bayer Leverkusen
44,5/22/2021,15:30,Bundesliga,Matchweek 34,Sat,Away,L,1,3,Dortmund,1.8,1.1,47,,Charles Aránguiz,4-2-3-1,4-2-3-1,Manuel Gräfe,Match Report,,15,6,19,0,1,1,2021,Bayer Leverkusen
1,9/19/2020,15:30,Bundesliga,Matchweek 1,Sat,Home,L,1,3,Augsburg,1.2,1.5,59,4600,Christopher Trimmel,4/3/2003,4-2-3-1,Marco Fritz,Match Report,,15,3,21.1,0,0,0,2021,Union Berlin
2,9/26/2020,15:30,Bundesliga,Matchweek 2,Sat,Away,D,1,1,Gladbach,0.8,1.8,37,10383,Christopher Trimmel,3/4/2003,4-2-3-1,Tobias Stieler,Match Report,,14,2,19.3,1,0,0,2021,Union Berlin
3,10/2/2020,20:30,Bundesliga,Matchweek 3,Fri,Home,W,4,0,Mainz 05,2.5,0.3,50,4400,Christopher Trimmel,3/4/2003,4-2-3-1,Sascha Stegemann,Match Report,,11,7,11.6,1,0,0,2021,Union Berlin
4,10/18/2020,18:00,Bundesliga,Matchweek 4,Sun,Away,D,1,1,Schalke 04,1,0.4,47,300,Christopher Trimmel,4-2-3-1,4/3/2003,Patrick Ittrich,Match Report,,11,6,18.3,0,0,0,2021,Union Berlin
5,10/24/2020,15:30,Bundesliga,Matchweek 5,Sat,Home,D,1,1,Freiburg,1.6,0.3,51,4500,Christopher Trimmel,4-2-3-1,4/4/2002,Robert Schröder,Match Report,,19,7,18,0,0,0,2021,Union Berlin
6,11/2/2020,20:30,Bundesliga,Matchweek 6,Mon,Away,W,3,1,Hoffenheim,3.6,1.3,40,,Marvin Friedrich,3-4-1-2,3-1-4-2,Robert Hartmann,Match Report,,8,5,12.2,0,1,1,2021,Union Berlin
7,11/7/2020,15:30,Bundesliga,Matchweek 7,Sat,Home,W,5,0,Arminia,2,0.3,51,,Christopher Trimmel,4-2-3-1,4-2-3-1,Matthias Jöllenbeck,Match Report,,11,8,18.5,0,1,1,2021,Union Berlin
8,11/22/2020,18:00,Bundesliga,Matchweek 8,Sun,Away,W,2,1,Köln,1.8,1.2,51,,Christopher Trimmel,4-2-3-1,4-1-4-1,Tobias Stieler,Match Report,,8,2,17.8,0,0,1,2021,Union Berlin
9,11/28/2020,15:30,Bundesliga,Matchweek 9,Sat,Home,D,3,3,Eint Frankfurt,2.4,1.4,44,,Christopher Trimmel,4-2-3-1,3-4-1-2,Tobias Reichel,Match Report,,14,6,18.8,0,1,1,2021,Union Berlin
10,12/4/2020,20:30,Bundesliga,Matchweek 10,Fri,Away,L,1,3,Hertha BSC,0.3,0.7,32,,Christopher Trimmel,3-4-1-2,4-2-3-1,Felix Brych,Match Report,,5,1,17.2,0,0,0,2021,Union Berlin
11,12/12/2020,18:30,Bundesliga,Matchweek 11,Sat,Home,D,1,1,Bayern Munich,1.3,1.1,33,,Christopher Trimmel,4-1-4-1,4-2-3-1,Bastian Dankert,Match Report,,12,5,20.9,0,0,0,2021,Union Berlin
12,12/15/2020,20:30,Bundesliga,Matchweek 12,Tue,Away,D,2,2,Stuttgart,0.7,2,38,,Christopher Trimmel,5/3/2002,3-1-4-2,Sascha Stegemann,Match Report,,15,5,18,0,0,0,2021,Union Berlin
13,12/18/2020,20:30,Bundesliga,Matchweek 13,Fri,Home,W,2,1,Dortmund,1,1.3,30,,Christopher Trimmel,4-1-4-1,4-2-3-1,Harm Osmers,Match Report,,12,5,18,0,0,0,2021,Union Berlin
15,1/2/2021,15:30,Bundesliga,Matchweek 14,Sat,Away,W,2,0,Werder Bremen,1,0.8,43,,Christopher Trimmel,5/3/2002,4-2-3-1,Tobias Stieler,Match Report,,9,2,19.6,0,0,0,2021,Union Berlin
16,1/9/2021,15:30,Bundesliga,Matchweek 15,Sat,Home,D,2,2,Wolfsburg,1,1.9,48,,Christopher Trimmel,3/5/2002,4-2-3-1,Patrick Ittrich,Match Report,,13,6,17.3,1,0,0,2021,Union Berlin
17,1/15/2021,20:30,Bundesliga,Matchweek 16,Fri,Home,W,1,0,Leverkusen,1.4,0.9,33,,Christopher Trimmel,3-1-4-2,4/3/2003,Florian Badstübner,Match Report,,11,3,20.6,0,0,0,2021,Union Berlin
18,1/20/2021,20:30,Bundesliga,Matchweek 17,Wed,Away,L,0,1,RB Leipzig,0.2,1.6,33,,Marvin Friedrich,3-1-4-2,3/4/2003,Markus Schmidt,Match Report,,4,1,22.7,0,0,0,2021,Union Berlin
19,1/23/2021,15:30,Bundesliga,Matchweek 18,Sat,Away,L,1,2,Augsburg,1.7,1,64,,Christopher Trimmel,3/4/2003,3/4/2003,Felix Brych,Match Report,,8,4,17.3,1,0,1,2021,Union Berlin
20,1/30/2021,15:30,Bundesliga,Matchweek 19,Sat,Home,D,1,1,Gladbach,0.8,0.9,43,,Marvin Friedrich,3/5/2002,4/4/2002,Bastian Dankert,Match Report,,13,2,17.3,0,0,0,2021,Union Berlin
21,2/6/2021,15:30,Bundesliga,Matchweek 20,Sat,Away,L,0,1,Mainz 05,1.2,2,57,,Christopher Trimmel,3/5/2002,3-4-1-2,Sascha Stegemann,Match Report,,11,4,17.4,0,0,0,2021,Union Berlin
22,2/13/2021,18:30,Bundesliga,Matchweek 21,Sat,Home,D,0,0,Schalke 04,2,0.3,38,,Christopher Trimmel,3/5/2002,4-2-3-1,Daniel Schlager,Match Report,,20,3,18.3,0,0,0,2021,Union Berlin
23,2/20/2021,15:30,Bundesliga,Matchweek 22,Sat,Away,W,1,0,Freiburg,1.4,0.8,35,,Christopher Trimmel,3/5/2002,4-2-2-2,Sören Storks,Match Report,,15,4,17.1,1,0,0,2021,Union Berlin
24,2/28/2021,13:30,Bundesliga,Matchweek 23,Sun,Home,D,1,1,Hoffenheim,1,1.3,46,,Christopher Trimmel,3-1-4-2,3-4-1-2,Tobias Stieler,Match Report,,4,0,20.5,0,1,1,2021,Union Berlin
25,3/7/2021,18:00,Bundesliga,Matchweek 24,Sun,Away,D,0,0,Arminia,1.4,0.4,59,,Christopher Trimmel,4/4/2002,4-2-3-1,Harm Osmers,Match Report,,8,3,14,0,0,0,2021,Union Berlin
26,3/13/2021,15:30,Bundesliga,Matchweek 25,Sat,Home,W,2,1,Köln,2.5,1.3,42,,Christopher Trimmel,3/5/2002,4-2-3-1,Deniz Aytekin,Match Report,,13,5,12.3,0,1,1,2021,Union Berlin
27,3/20/2021,15:30,Bundesliga,Matchweek 26,Sat,Away,L,2,5,Eint Frankfurt,2.7,2.3,47,,Christopher Trimmel,3/5/2002,3-4-1-2,Markus Schmidt,Match Report,,25,6,14.4,1,0,0,2021,Union Berlin
28,4/4/2021,18:00,Bundesliga,Matchweek 27,Sun,Home,D,1,1,Hertha BSC,0.9,0.9,59,,Christopher Trimmel,3-4-1-2,4/3/2003,Sascha Stegemann,Match Report,,13,3,18.3,0,0,0,2021,Union Berlin
29,4/10/2021,15:30,Bundesliga,Matchweek 28,Sat,Away,D,1,1,Bayern Munich,1.3,0.8,41,,Christopher Trimmel,4-2-3-1,4-2-3-1,Tobias Stieler,Match Report,,7,2,13.2,0,0,0,2021,Union Berlin
30,4/17/2021,15:30,Bundesliga,Matchweek 29,Sat,Home,W,2,1,Stuttgart,1.4,1,44,,Christopher Trimmel,3-1-4-2,3/4/2003,Benjamin Cortus,Match Report,,9,4,12.6,0,0,0,2021,Union Berlin
31,4/21/2021,20:30,Bundesliga,Matchweek 30,Wed,Away,L,0,2,Dortmund,0.3,4.8,48,,Christopher Trimmel,4-2-3-1,4-1-4-1,Daniel Schlager,Match Report,,5,1,21.4,1,0,0,2021,Union Berlin
32,4/24/2021,15:30,Bundesliga,Matchweek 31,Sat,Home,W,3,1,Werder Bremen,1.6,0.4,55,,Marvin Friedrich,3/5/2002,3/5/2002,Patrick Ittrich,Match Report,,16,6,16.1,0,0,0,2021,Union Berlin
33,5/8/2021,15:30,Bundesliga,Matchweek 32,Sat,Away,L,0,3,Wolfsburg,0.7,1.7,40,,Christopher Trimmel,3-1-4-2,4-2-3-1,Sven Jablonski,Match Report,,9,1,17.4,0,0,0,2021,Union Berlin
34,5/15/2021,15:30,Bundesliga,Matchweek 33,Sat,Away,D,1,1,Leverkusen,1.3,1.5,51,,Christopher Trimmel,3/5/2002,3/4/2003,Patrick Ittrich,Match Report,,13,6,16.8,1,0,0,2021,Union Berlin
35,5/22/2021,15:30,Bundesliga,Matchweek 34,Sat,Home,W,2,1,RB Leipzig,1.1,2.6,39,2000,Christopher Trimmel,3/5/2002,4/3/2003,Guido Winkmann,Match Report,,10,4,19.6,0,0,0,2021,Union Berlin
1,9/19/2020,18:30,Bundesliga,Matchweek 1,Sat,Away,L,0,3,Dortmund,0.6,1.8,52,9300,Lars Stindl,3/4/2003,3-4-1-2,Felix Brych,Match Report,,8,2,19.7,0,0,0,2021,Monchengladbach
2,9/26/2020,15:30,Bundesliga,Matchweek 2,Sat,Home,D,1,1,Union Berlin,1.8,0.8,63,10383,Lars Stindl,4-2-3-1,3/4/2003,Tobias Stieler,Match Report,,14,6,15.4,0,0,0,2021,Monchengladbach
3,10/3/2020,15:30,Bundesliga,Matchweek 3,Sat,Away,W,3,1,Köln,2.1,0.6,59,300,Lars Stindl,4-2-3-1,3/5/2002,Marco Fritz,Match Report,,14,9,18.7,0,1,1,2021,Monchengladbach
4,10/17/2020,20:30,Bundesliga,Matchweek 4,Sat,Home,D,1,1,Wolfsburg,1.9,1.4,47,300,Lars Stindl,4-2-3-1,4/3/2003,Daniel Schlager,Match Report,,12,1,18.9,1,1,1,2021,Monchengladbach
6,10/24/2020,15:30,Bundesliga,Matchweek 5,Sat,Away,W,3,2,Mainz 05,3,1.9,60,100,Lars Stindl,3/5/2002,4-2-3-1,Frank Willenborg,Match Report,,20,10,15.2,0,1,1,2021,Monchengladbach
8,10/31/2020,18:30,Bundesliga,Matchweek 6,Sat,Home,W,1,0,RB Leipzig,0.4,0.8,49,,Yann Sommer,4-2-3-1,4-1-3-2,Daniel Siebert,Match Report,,5,3,14.3,0,0,0,2021,Monchengladbach
10,11/8/2020,18:00,Bundesliga,Matchweek 7,Sun,Away,L,3,4,Leverkusen,2.7,1.3,41,,Lars Stindl,4-2-3-1,4/3/2003,Harm Osmers,Match Report,,14,5,17.4,0,1,1,2021,Monchengladbach
11,11/21/2020,15:30,Bundesliga,Matchweek 8,Sat,Home,D,1,1,Augsburg,2.1,0.8,52,,Lars Stindl,4-2-3-1,4/4/2002,Markus Schmidt,Match Report,,14,6,15.9,1,0,0,2021,Monchengladbach
13,11/28/2020,18:30,Bundesliga,Matchweek 9,Sat,Home,W,4,1,Schalke 04,3,0.9,56,,Yann Sommer,4-2-3-1,4-2-3-1,Manuel Gräfe,Match Report,,18,9,12.4,0,0,0,2021,Monchengladbach
15,12/5/2020,15:30,Bundesliga,Matchweek 10,Sat,Away,D,2,2,Freiburg,1.5,3.6,61,,Lars Stindl,4-2-3-1,3/4/2003,Tobias Stieler,Match Report,,12,4,19.2,0,0,0,2021,Monchengladbach
17,12/12/2020,15:30,Bundesliga,Matchweek 11,Sat,Home,D,1,1,Hertha BSC,1.7,0.4,55,,Breel Embolo,4-2-3-1,4-2-3-1,Robert Hartmann,Match Report,,16,3,17.6,1,0,0,2021,Monchengladbach
18,12/15/2020,18:30,Bundesliga,Matchweek 12,Tue,Away,D,3,3,Eint Frankfurt,1.4,1.9,60,,Lars Stindl,4-2-3-1,3/4/2003,Benjamin Cortus,Match Report,,7,4,21.4,1,1,1,2021,Monchengladbach
19,12/19/2020,15:30,Bundesliga,Matchweek 13,Sat,Home,L,1,2,Hoffenheim,1.9,2.1,48,,Lars Stindl,4-2-3-1,4-2-3-1,Frank Willenborg,Match Report,,14,4,21.4,1,1,1,2021,Monchengladbach
21,1/2/2021,15:30,Bundesliga,Matchweek 14,Sat,Away,W,1,0,Arminia,2.5,0.9,58,,Lars Stindl,4-2-3-1,4/4/2002,Sascha Stegemann,Match Report,,24,6,17.9,1,0,0,2021,Monchengladbach
22,1/8/2021,20:30,Bundesliga,Matchweek 15,Fri,Home,W,3,2,Bayern Munich,1.2,1.5,33,,Lars Stindl,4/4/2002,4-2-3-1,Harm Osmers,Match Report,,8,4,17.4,0,0,0,2021,Monchengladbach
23,1/16/2021,18:30,Bundesliga,Matchweek 16,Sat,Away,D,2,2,Stuttgart,1.4,2,40,,Lars Stindl,4-2-3-1,3/5/2002,Felix Brych,Match Report,,7,4,19.8,0,1,1,2021,Monchengladbach
24,1/19/2021,18:30,Bundesliga,Matchweek 17,Tue,Home,W,1,0,Werder Bremen,0.6,1.1,60,,Yann Sommer,4-2-3-1,3/5/2002,Martin Petersen,Match Report,,11,6,18.1,0,0,0,2021,Monchengladbach
25,1/22/2021,20:30,Bundesliga,Matchweek 18,Fri,Home,W,4,2,Dortmund,2,1.7,43,,Lars Stindl,3-4-1-2,4-2-3-1,Manuel Gräfe,Match Report,,10,7,14.9,1,0,0,2021,Monchengladbach
26,1/30/2021,15:30,Bundesliga,Matchweek 19,Sat,Away,D,1,1,Union Berlin,0.9,0.8,57,,Yann Sommer,4/4/2002,3/5/2002,Bastian Dankert,Match Report,,14,4,14.1,0,0,0,2021,Monchengladbach
28,2/6/2021,18:30,Bundesliga,Matchweek 20,Sat,Home,L,1,2,Köln,0.5,0.7,64,,Lars Stindl,4-2-3-1,3-1-4-2,Christian Dingert,Match Report,,10,2,18.7,0,0,0,2021,Monchengladbach
29,2/14/2021,18:00,Bundesliga,Matchweek 21,Sun,Away,D,0,0,Wolfsburg,0.6,0.9,45,,Lars Stindl,4-2-3-1,4-2-3-1,Tobias Stieler,Match Report,,11,3,21.3,0,0,0,2021,Monchengladbach
30,2/20/2021,15:30,Bundesliga,Matchweek 22,Sat,Home,L,1,2,Mainz 05,0.9,0.6,68,,Lars Stindl,3/5/2002,3-4-1-2,Markus Schmidt,Match Report,,12,4,16.1,1,0,0,2021,Monchengladbach
32,2/27/2021,18:30,Bundesliga,Matchweek 23,Sat,Away,L,2,3,RB Leipzig,1.4,1.6,34,,Yann Sommer,3-1-4-2,4-2-3-1,Manuel Gräfe,Match Report,,4,1,18.6,0,1,1,2021,Monchengladbach
34,3/6/2021,15:30,Bundesliga,Matchweek 24,Sat,Home,L,0,1,Leverkusen,0.5,1.4,43,,Yann Sommer,4-2-3-1,4/3/2003,Daniel Siebert,Match Report,,8,3,17.8,1,0,0,2021,Monchengladbach
35,3/12/2021,20:30,Bundesliga,Matchweek 25,Fri,Away,L,1,3,Augsburg,3.1,1.4,64,,Lars Stindl,4-2-3-1,4-2-3-1,Sven Jablonski,Match Report,,25,7,16.6,0,0,1,2021,Monchengladbach
37,3/20/2021,18:30,Bundesliga,Matchweek 26,Sat,Away,W,3,0,Schalke 04,2.4,0.2,70,,Lars Stindl,4-2-3-1,3/5/2002,Tobias Stieler,Match Report,,21,7,16,0,0,0,2021,Monchengladbach
38,4/3/2021,20:30,Bundesliga,Matchweek 27,Sat,Home,W,2,1,Freiburg,1.5,1.7,48,,Lars Stindl,4-2-3-1,5/3/2002,Christian Dingert,Match Report,,19,6,20,2,0,0,2021,Monchengladbach
39,4/10/2021,15:30,Bundesliga,Matchweek 28,Sat,Away,D,2,2,Hertha BSC,1.3,1.8,38,,Lars Stindl,3/4/2003,3/4/2003,Patrick Ittrich,Match Report,,6,3,21.3,0,1,1,2021,Monchengladbach
40,4/17/2021,15:30,Bundesliga,Matchweek 29,Sat,Home,W,4,0,Eint Frankfurt,2.3,0.7,37,,Matthias Ginter,4/4/2002,3-4-1-2,Deniz Aytekin,Match Report,,21,4,16.3,0,0,0,2021,Monchengladbach
41,4/21/2021,20:30,Bundesliga,Matchweek 30,Wed,Away,L,2,3,Hoffenheim,0.9,2.3,45,,Matthias Ginter,4/4/2002,4/3/2003,Daniel Siebert,Match Report,,6,2,15.5,0,0,0,2021,Monchengladbach
42,4/25/2021,18:00,Bundesliga,Matchweek 31,Sun,Home,W,5,0,Arminia,3.5,0.7,62,,Yann Sommer,3-4-1-2,4/4/2002,Robert Hartmann,Match Report,,19,11,16.6,0,1,1,2021,Monchengladbach
43,5/8/2021,18:30,Bundesliga,Matchweek 32,Sat,Away,L,0,6,Bayern Munich,1.1,3,43,,Yann Sommer,4/4/2002,4-2-3-1,Tobias Stieler,Match Report,,14,3,20.1,1,0,0,2021,Monchengladbach
44,5/15/2021,15:30,Bundesliga,Matchweek 33,Sat,Home,L,1,2,Stuttgart,0.5,0.6,50,,Lars Stindl,4-2-3-1,3/4/2003,Sascha Stegemann,Match Report,,9,4,19,0,0,0,2021,Monchengladbach
45,5/22/2021,15:30,Bundesliga,Matchweek 34,Sat,Away,W,4,2,Werder Bremen,1.8,1.9,54,100,Lars Stindl,3-4-1-2,4-1-2-1-2,Felix Brych,Match Report,,16,8,16.5,0,0,0,2021,Monchengladbach
1,9/19/2020,15:30,Bundesliga,Matchweek 1,Sat,Home,L,2,3,Freiburg,2.6,1.9,63,7123,Gonzalo Castro,3-1-4-2,4-1-3-2,Benjamin Cortus,Match Report,,26,6,18.6,3,0,0,2021,Stuttgart
2,9/26/2020,15:30,Bundesliga,Matchweek 2,Sat,Away,W,4,1,Mainz 05,2.6,1.3,51,3403,Gonzalo Castro,3-1-4-2,4-2-3-1,Daniel Schlager,Match Report,,15,7,12.9,0,0,0,2021,Stuttgart
